,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
72,Brae,98,GB,1599619180,93,60.4,-1.35,53.6,14.99
73,Atuona,49,PF,1599619181,71,-9.8,-139.03,78.03,18.01
74,Arraial do Cabo,63,BR,1599619182,91,-22.97,-42.03,71.44,1.74
75,Vila Velha,0,BR,1599619184,78,-20.33,-40.29,72.0,9.17
76,Ciudad Guayana,56,VE,1599619186,83,8.35,-62.65,76.23,3.49
77,Pochutla,100,MX,1599619187,90,15.74,-96.47,79.0,1.52
78,Nioro,100,GM,1599619189,96,13.35,-15.75,74.73,5.7
79,Hong Kong,93,HK,1599619190,74,22.29,114.16,86.0,5.01
80,Tshikapa,10,CD,1599619193,59,-6.42,20.8,73.31,2.35
81,Codrington,82,AU,1599619195,69,-38.27,141.97,54.93,11.95
82,Laguna,90,US,1599619197,15,38.42,-121.42,91.0,16.11
83,Lüderitz,0,NA,1599619199,60,-26.65,15.16,64.65,11.81
84,Wasco,0,US,1599619201,27,35.59,-119.34,90.0,4.7
85,Qaanaaq,100,GL,1599619204,94,77.48,-69.36,26.6,9.98
86,Bacolod City,100,PH,1599619206,72,10.67,122.95,86.05,4.54
87,Upernavik,11,GL,1599619208,82,72.79,-56.15,33.8,6.58
88,Ambilobe,0,MG,1599619210,79,-13.2,49.05,67.89,2.93
89,Huarmey,92,PE,1599619213,84,-10.07,-78.15,61.48,10.16
90,Muzhi,98,RU,1599619214,89,65.37,64.67,55.56,1.81
91,Saint George,1,US,1599619176,21,37.1,-113.58,64.0,20.8
92,Itaituba,1,BR,1599619221,52,-4.28,-55.98,79.02,1.66
93,Tuatapere,100,NZ,1599619223,72,-46.13,167.68,45.0,11.01
94,Alugan,100,PH,1599619225,75,12.22,125.48,84.83,3.94
95,Castro,89,BR,1599619227,96,-24.79,-50.01,61.05,7.2
96,Mongo,30,TD,1599619229,82,12.18,18.69,76.17,5.01
97,Lavrentiya,36,RU,1599619231,61,65.58,-171.0,43.88,4.5
98,St Austell,1,GB,1599619233,93,50.34,-4.77,60.01,9.17
99,Gold Coast,90,AU,1599619144,46,-28.0,153.43,77.0,11.41
100,Dingzhou,29,CN,1599619238,37,38.51,115.0,84.2,6.71
101,Dandong,59,CN,1599619160,68,40.13,124.39,73.65,3.22
102,Laas,0,IT,1599619242,100,46.62,10.7,55.0,1.72
103,Parral,64,MX,1599619244,58,26.93,-105.67,68.58,9.01
104,Pevek,99,RU,1599619247,76,69.7,170.31,39.81,6.64
105,Russell,1,US,1599619248,61,32.35,-85.2,78.8,5.82
106,Griffith,90,US,1599619024,100,41.53,-87.42,63.0,10.29
107,Waingapu,44,ID,1599619252,43,-9.66,120.26,88.5,13.98
108,Palana,100,RU,1599619255,88,59.12,159.97,46.18,33.02
109,Dikson,100,RU,1599619257,99,73.51,80.55,41.83,15.05
110,Esperance,0,AU,1599619259,42,-33.87,121.9,66.2,18.34
111,Chontalpa,100,MX,1599619261,93,17.7,-93.52,76.73,2.98
112,Taos,90,US,1599619235,93,36.41,-105.57,37.4,21.92
113,Tingi,2,TZ,1599619265,71,-11.3,35.03,56.08,6.8
114,Senanga,0,ZM,1599619267,39,-16.12,23.27,55.2,5.19
115,Hamilton,1,US,1599619014,78,39.18,-84.53,77.0,6.93
116,Mar del Plata,100,AR,1599619013,87,-38.0,-57.56,52.0,9.17
117,Seymchan,37,RU,1599619272,49,62.88,152.43,49.69,15.57
118,Matara,100,LK,1599619274,86,5.95,80.54,79.74,11.77
119,Los Llanos de Aridane,0,ES,1599619276,94,28.66,-17.92,86.0,13.87
120,Boende,29,CD,1599619278,97,-0.22,20.87,69.28,2.48
121,Yellowknife,75,CA,1599619281,58,62.46,-114.35,59.0,6.93
122,Aras,0,ES,1599619284,81,42.56,-2.36,53.6,3.2
123,Cabo San Lucas,20,MX,1599619287,78,22.89,-109.91,84.99,11.41
124,Khatanga,0,RU,1599619288,49,71.97,102.5,54.09,12.8
125,Arak,0,IR,1599619290,31,34.09,49.69,62.26,3.31
126,Resistencia,0,AR,1599619292,72,-27.46,-58.98,66.2,8.05
127,São Domingos,0,BR,1599619294,38,-13.4,-46.32,76.3,10.02
128,George Town,20,MY,1599619296,74,5.41,100.34,84.2,3.36
129,Sørland,100,NO,1599619298,74,67.67,12.69,51.01,33.31
130,Sinnamary,78,GF,1599619300,89,5.38,-52.95,78.91,9.62
131,Norman Wells,75,CA,1599619302,76,65.28,-126.83,55.4,9.17
132,Portland,0,US,1599619080,21,45.52,-122.68,77.0,5.01
133,Fairbanks,90,US,1599619068,81,64.84,-147.72,53.6,3.85
134,Carnarvon,41,AU,1599619306,64,-24.87,113.63,73.4,11.41
135,Chokurdakh,85,RU,1599619308,62,70.63,147.92,51.75,14.16
136,Launceston,0,AU,1599619309,47,-41.45,147.17,61.0,8.05
137,Bethel,1,US,1599619036,93,41.37,-73.41,68.0,4.7
138,Paciran,36,ID,1599619313,57,-6.88,112.38,86.85,4.07
139,Hilo,40,US,1599619315,58,19.73,-155.09,84.2,6.93
140,Ust-Nera,68,RU,1599619317,47,64.57,143.2,49.98,4.43
141,Berlevåg,100,NO,1599619319,83,70.86,29.09,50.25,12.57
142,Ponta do Sol,20,PT,1599619321,88,32.67,-17.1,75.99,2.24
143,Annau,40,TM,1599619323,33,37.89,58.52,62.6,1.23
144,Bereket,0,TM,1599619325,23,39.24,55.52,67.01,6.64
145,Husavik,90,IS,1599619326,76,66.04,-17.34,39.2,5.82
146,Zhigansk,0,RU,1599619328,56,66.77,123.37,51.46,7.14
147,Florence,0,IT,1599619330,82,43.77,11.25,71.01,1.12
148,Palafrugell,100,ES,1599619332,48,41.92,3.16,66.0,11.68
149,Ekpoma,100,NG,1599619334,100,6.74,6.14,69.96,5.57
150,Inta,100,RU,1599619335,91,66.03,60.17,56.98,6.67
151,Uncia,98,BO,1599619338,55,-18.47,-66.57,50.07,7.7
152,Kavieng,93,PG,1599619340,66,-2.57,150.8,85.64,7.4
153,Wilmington,20,US,1599619342,94,34.23,-77.94,78.01,5.82
154,Santa Inês,19,BR,1599619344,85,-3.67,-45.38,75.74,5.97
155,Bedelē,73,ET,1599619347,100,8.46,36.35,53.64,1.41
156,Kantunilkín,40,MX,1599619348,83,21.09,-87.45,80.6,2.24
157,Redlands,17,US,1599619335,65,34.06,-117.18,73.0,4.88
158,Valparaíso,100,CL,1599619318,73,-33.04,-71.63,53.01,6.44
159,Chihuahua,90,MX,1599619354,41,28.5,-106.0,77.0,8.05
160,Longyan,100,CN,1599619356,84,25.11,117.02,78.57,1.68
161,Namatanai,56,PG,1599619357,74,-3.67,152.43,84.4,8.1
162,Port Hardy,5,CA,1599619327,49,50.7,-127.42,68.0,4.7
163,Cidreira,65,BR,1599619361,89,-30.18,-50.21,62.56,23.44
164,Talnakh,0,RU,1599619362,81,69.49,88.4,50.0,6.71
165,Balaipungut,20,ID,1599619364,74,1.05,101.28,84.2,10.29
166,Port-Gentil,46,GA,1599619373,85,-0.72,8.78,75.52,15.37
167,Port Blair,100,IN,1599619374,71,11.67,92.75,85.15,3.8
168,Porto Belo,75,BR,1599619379,100,-27.16,-48.55,66.99,6.93
169,Kabompo,0,ZM,1599619381,42,-13.59,24.2,53.67,5.14
170,Salina,90,US,1599619383,87,38.84,-97.61,46.4,17.22
171,Mahébourg,75,MU,1599619385,94,-20.41,57.7,69.8,19.46
172,Bambous Virieux,75,MU,1599619386,94,-20.34,57.76,71.01,19.46
173,Vestnes,91,NO,1599619387,81,62.63,7.09,53.6,18.34
174,Murgūd,97,IN,1599619389,83,16.4,74.2,77.79,1.66
175,Bambanglipuro,17,ID,1599619390,55,-7.95,110.28,88.03,11.03
176,Ilulissat,21,GL,1599619392,43,69.22,-51.1,35.6,17.22
177,Amapá,58,BR,1599619394,96,1.0,-52.0,71.46,2.62
178,Havre-St-Pierre,90,CA,1599619395,87,50.23,-63.6,48.2,9.17
179,Provideniya,14,RU,1599619396,63,64.38,-173.3,42.8,13.42
180,Makkah al Mukarramah,0,SA,1599619176,68,21.43,39.83,81.1,1.86
181,Bluff,100,NZ,1599619398,72,-46.6,168.33,45.0,11.01
182,Belmonte,66,BR,1599619400,73,-15.86,-38.88,73.4,6.93
183,Tevaitoa,32,PF,1599619401,77,-16.78,-151.5,78.12,12.53
184,Mount Gambier,40,AU,1599619402,54,-37.83,140.77,59.0,12.75
185,Mayo,1,US,1599619403,83,38.89,-76.51,77.0,5.82
186,Søgne,94,NO,1599619405,87,58.08,7.82,57.99,10.29
187,Catuday,100,PH,1599619406,70,16.29,119.81,85.05,3.65
188,East London,0,ZA,1599619179,43,-33.02,27.91,68.34,8.12
189,Manado,20,ID,1599619411,66,1.49,124.85,86.0,3.36
190,Guntur,20,IN,1599619412,79,16.3,80.45,86.0,5.14
191,Badou,100,TG,1599619414,91,7.58,0.6,70.43,2.89
192,Arlit,60,NE,1599619415,16,18.74,7.39,93.76,9.8
193,Nouadhibou,5,MR,1599619416,83,20.93,-17.03,78.8,5.82
194,Rjukan,70,NO,1599619419,89,59.88,8.59,41.0,5.99
195,Saint-Marc-des-Carrieres,90,CA,1599619423,76,46.68,-72.05,57.0,10.29
196,Ipixuna,26,BR,1599619425,94,-1.76,-48.8,75.2,6.93
197,Caravelas,50,BR,1599619429,78,-17.71,-39.25,68.38,4.54
198,Mouzourás,0,GR,1599619431,60,35.53,24.15,75.2,4.7
199,Cabedelo,20,BR,1599619422,100,-6.98,-34.83,71.6,4.7
200,Shimoda,20,JP,1599619435,70,34.67,138.95,88.0,14.99
201,Poum,10,NC,1599619437,75,-20.23,164.02,70.2,20.27
202,São João da Barra,10,BR,1599619439,89,-21.64,-41.05,72.14,7.49
203,Bandarbeyla,60,SO,1599619441,77,9.49,50.81,74.71,25.88
204,Turukhansk,100,RU,1599619443,72,65.82,87.98,48.56,5.59
205,Lebu,57,CL,1599619444,87,-37.62,-73.65,48.72,2.26
206,Tual,10,ID,1599619405,83,-5.67,132.75,80.38,23.31
207,Sapa,93,PH,1599619446,75,5.15,120.32,84.07,4.99
208,Lahat,70,ID,1599619447,58,-3.8,103.53,84.18,4.05
209,Quincy,58,US,1599619449,88,42.25,-71.0,72.0,11.41
210,Siirt,0,TR,1599619450,29,37.93,41.94,67.3,3.47
211,Balabac,100,PH,1599619451,66,7.99,117.06,86.04,7.52
212,Sur,0,OM,1599619452,53,22.57,59.53,88.12,5.57
213,Kabinda,0,CD,1599619454,33,-6.13,24.48,71.19,4.27
214,Kaitangata,99,NZ,1599619455,94,-46.28,169.85,51.13,7.81
215,Wattegama,75,LK,1599619456,100,6.8,81.48,77.0,12.75
216,Faanui,13,PF,1599619458,79,-16.48,-151.75,77.45,11.99
217,Vardø,76,NO,1599619460,83,70.37,31.11,50.92,13.85
218,Kruisfontein,0,ZA,1599619461,60,-34.0,24.73,60.57,11.23
219,Churapcha,0,RU,1599619463,38,62.0,132.43,59.56,5.93
220,Aksarka,90,RU,1599619465,91,66.56,67.8,53.13,4.23
221,Kavaratti,99,IN,1599619468,79,10.57,72.64,82.18,17.11
222,New Norfolk,43,AU,1599619471,64,-42.78,147.06,59.0,1.99
223,Mushie,97,CD,1599619473,73,-3.02,16.9,77.0,2.95
224,Tasiilaq,78,GL,1599619475,80,65.61,-37.64,35.6,4.7
225,Hofn,87,IS,1599619477,65,64.25,-15.21,42.26,12.44
226,Okha,100,RU,1599619478,84,53.57,142.95,54.91,11.81
227,Tabas,0,IR,1599619480,17,33.6,56.92,73.4,2.24
228,Broome,1,US,1599619483,60,42.25,-75.83,71.6,5.82
229,Hervey Bay,10,AU,1599619485,62,-25.3,152.85,72.0,8.01
230,Usinsk,100,RU,1599619487,95,65.99,57.53,55.87,12.19
231,Dubbo,90,AU,1599619372,77,-32.25,148.62,64.4,5.82
232,Atambua,100,ID,1599619490,48,-9.11,124.89,84.58,3.44
233,Inhambane,5,MZ,1599619491,86,-23.86,35.38,66.76,5.95
234,Yerbogachën,53,RU,1599619492,74,61.28,108.01,50.83,8.1
235,Belaya Gora,99,RU,1599619495,66,68.53,146.42,48.92,4.88
236,Ayan,100,RU,1599619496,83,56.45,138.17,53.31,21.45
237,Digha,100,IN,1599619497,82,21.68,87.55,84.61,9.08
238,Ostrovnoy,82,RU,1599619499,84,68.05,39.51,46.27,10.98
239,Kidal,31,ML,1599619500,36,18.44,1.41,90.14,9.24
240,Breytovo,70,RU,1599619502,93,58.3,37.86,47.57,10.49
241,Udachny,75,RU,1599619503,75,66.42,112.4,42.8,6.71
242,Acapulco de Juárez,75,MX,1599619504,83,16.86,-99.89,80.6,5.82
243,Castelbuono,0,IT,1599619506,87,37.93,14.09,77.0,0.49
244,Saint-Joseph,31,RE,1599619507,82,-21.37,55.62,68.0,3.36
245,Lagoa,97,PT,1599619509,84,39.05,-27.98,72.66,13.2
246,Abhā,49,SA,1599619511,42,18.22,42.51,68.0,4.72
247,Antofagasta,90,CL,1599619513,76,-23.65,-70.4,57.2,12.75
248,Aldan,0,RU,1599619514,46,58.6,125.39,56.35,7.49
249,Liverpool,86,GB,1599619305,66,53.41,-2.98,64.0,14.32
250,Biak,55,ID,1599619517,64,-0.91,122.88,84.29,8.9
251,Shache,100,CN,1599619518,20,38.42,77.24,75.24,8.28
252,Kharan,0,PK,1599619519,16,28.58,65.42,80.06,9.69
253,Turiaçu,21,BR,1599619521,91,-1.66,-45.37,75.31,5.37
254,Clyde River,90,CA,1599619240,88,70.47,-68.59,33.8,6.93
255,Ouésso,5,CG,1599619524,97,1.61,16.05,69.8,1.63
256,Amahai,55,ID,1599619525,78,-3.33,128.92,81.82,6.02
257,Leningradskiy,89,RU,1599619527,72,69.38,178.42,44.04,9.55
258,Manokwari,18,ID,1599619529,65,-0.87,134.08,85.03,4.34
259,Peniche,55,PT,1599619531,66,39.36,-9.38,68.0,4.81
260,Beringovskiy,100,RU,1599619532,67,63.05,179.32,51.24,6.06
261,Gizo Government Station,52,SB,1599619534,78,-8.1,156.84,81.91,10.58
262,Esna,0,EG,1599619535,51,25.29,32.55,84.2,4.7
263,Tarko-Sale,100,RU,1599619536,93,64.92,77.78,46.0,12.03
264,Panjāb,0,AF,1599619538,32,34.39,67.02,56.25,0.58
265,Piaçabuçu,1,BR,1599619539,86,-10.41,-36.43,72.72,7.4
266,Chapais,75,CA,1599619540,87,49.78,-74.85,44.6,2.24
267,Leshukonskoye,100,RU,1599619542,96,64.9,45.76,53.83,4.94
268,Bom Jesus da Lapa,24,BR,1599619543,39,-13.26,-43.42,72.45,7.14
269,Hargeisa,16,SO,1599619493,58,9.56,44.06,69.84,23.89
270,The Valley,20,AI,1599619547,83,18.22,-63.06,82.4,9.17
271,Lorengau,89,PG,1599619548,76,-2.02,147.27,83.91,6.33
272,Provincia di Grosseto,35,IT,1599619549,64,42.83,11.25,80.01,3.36
273,Quang Ngai,79,VN,1599619551,54,15.12,108.8,91.29,4.83
274,Nkayi,77,CG,1599619552,82,-4.18,13.29,72.97,3.51
275,Ahipara,24,NZ,1599619406,63,-35.17,173.17,57.34,4.61
276,Parit Raja,20,MY,1599619554,79,1.87,103.11,84.2,4.7
277,Bathsheba,40,BB,1599619555,78,13.22,-59.52,82.4,9.17
278,Mogadishu,10,SO,1599619557,77,2.04,45.34,75.81,16.02
279,Yar-Sale,100,RU,1599619558,87,66.83,70.83,53.17,7.16
280,Narsaq,100,GL,1599619559,89,60.92,-46.05,42.53,11.03
281,Tiksi,4,RU,1599619560,55,71.69,128.87,49.69,16.31
282,Mēga,19,ET,1599619562,89,4.05,38.3,53.92,13.56
283,Jalu,0,LY,1599619563,56,29.03,21.55,72.79,6.15
284,Hauge i Dalane,100,NO,1599619564,94,58.34,6.28,60.01,23.6
285,Coari,76,BR,1599619413,68,-4.08,-63.14,78.04,3.62
286,Lamu,0,KE,1599619567,79,-2.27,40.9,74.44,13.4
287,Bilibino,98,RU,1599619568,71,68.05,166.44,39.88,5.19
288,Virden,93,US,1599619570,94,39.5,-89.77,68.0,15.99
289,Garden City,90,US,1599619571,87,42.33,-83.33,64.0,9.17
290,Kjøllefjord,64,NO,1599619573,86,70.95,27.35,49.35,8.55
291,Mehamn,96,NO,1599619574,86,71.04,27.85,49.08,9.84
292,Sisimiut,93,GL,1599619281,71,66.94,-53.67,38.55,8.81
293,Mossamedes,42,AO,1599619577,90,-15.2,12.15,63.59,5.91
294,Severo-Kuril'sk,42,RU,1599619579,84,50.68,156.12,52.93,16.8
295,Halifax,90,CA,1599619491,100,44.65,-63.57,63.0,2.24
296,Opuwo,0,NA,1599619581,30,-18.06,13.84,61.38,10.25
297,Sunggal,54,ID,1599619530,64,3.58,98.62,86.41,3.47
298,Abalak,0,RU,1599619583,78,58.13,68.59,46.94,5.68
299,Eldoret,7,KE,1599619584,90,0.52,35.27,54.03,2.91
300,Tecpan,75,GT,1599619586,88,14.76,-90.99,66.2,4.7
301,Coyhaique,75,CL,1599619587,93,-45.58,-72.07,35.6,5.82
302,Escárcega,49,MX,1599619564,91,18.61,-90.75,75.81,2.55
303,Chui,97,UY,1599619589,90,-33.7,-53.46,55.96,11.23
304,At-Bashi,0,KG,1599619591,33,41.17,75.81,60.04,1.88
305,Kyabram,38,AU,1599619592,51,-36.32,145.05,63.0,5.01
306,Kurduvādi,100,IN,1599619594,74,18.08,75.43,78.03,5.86
307,Dingle,98,PH,1599619595,69,11.0,122.67,87.17,4.63
308,Leh,0,IN,1599619596,40,34.17,77.58,54.1,4.97
309,Giarre,0,IT,1599619597,94,37.73,15.19,75.0,4.7
310,Troitskoye,100,RU,1599619598,93,52.98,84.68,44.83,9.57
311,Cap Malheureux,25,MU,1599619600,85,-19.98,57.61,71.01,5.99
312,Victoria Point,13,AU,1599619602,52,-27.58,153.3,75.0,3.0
313,Zyryanovsk,21,KZ,1599619603,75,49.74,84.27,49.62,1.9
314,Nome,90,US,1599619605,57,64.5,-165.41,51.8,8.05
315,Sitka,90,US,1599619606,93,57.05,-135.33,57.2,2.04
316,Ambon City,75,ID,1599619608,70,-3.7,128.18,86.0,8.05
317,Mendi,79,PG,1599619609,77,-6.18,143.65,67.23,5.17
318,Syracuse,0,IT,1599619366,94,37.09,15.28,73.4,4.7
319,Kameda-honchō,40,JP,1599619612,70,37.87,139.12,86.0,9.17
320,Pacific Grove,75,US,1599619614,64,36.62,-121.92,69.8,10.29
321,Hukuntsi,0,BW,1599619616,39,-24.0,21.75,56.35,7.25
322,Tosya,0,TR,1599619617,79,41.02,34.04,55.72,1.79
323,Aitape,96,PG,1599619619,67,-3.14,142.35,86.47,8.25
324,Egvekinot,89,RU,1599619620,63,66.32,-179.17,44.46,4.0
325,São Filipe,91,CV,1599619621,86,14.9,-24.5,79.39,15.32
326,Cayenne,77,GF,1599619623,100,4.93,-52.33,75.2,10.09
327,Eureka,90,US,1599619625,77,40.8,-124.16,63.0,3.62
328,Ustka,12,PL,1599619627,89,54.58,16.86,60.35,13.33
329,Biała Podlaska,0,PL,1599619629,83,52.03,23.12,54.93,8.86
330,Nizwá,13,OM,1599619631,32,22.93,57.53,87.82,1.36
331,Progreso,40,MX,1599619633,74,21.28,-89.67,84.0,5.82
332,Coahuayana Viejo,100,MX,1599619634,83,18.73,-103.68,78.57,0.47
333,Olafsvik,8,IS,1599619636,73,64.89,-23.71,42.78,9.17
334,Bereda,1,ES,1599619637,1,43.27,-7.54,55.0,2.26
335,Abnūb,0,EG,1599619638,65,27.27,31.15,78.8,16.11
336,Greenwood,1,US,1599619640,78,34.17,-82.12,71.6,5.82
337,Marabu,40,MY,1599619641,83,4.41,114.01,82.4,4.7
338,Grand Forks,20,US,1599619557,80,47.93,-97.03,42.8,4.03
339,Basoko,100,CD,1599619644,94,1.24,23.62,71.4,1.77
340,Hasaki,20,JP,1599619646,59,35.73,140.83,95.0,9.17
341,Saldanha,0,ZA,1599619649,88,-33.01,17.94,56.52,3.56
342,Troitsko-Pechorsk,99,RU,1599619650,95,62.71,56.2,56.16,8.03
343,Sompeta,89,IN,1599619651,73,18.93,84.6,85.8,7.09
344,Hambantota,75,LK,1599619652,100,6.12,81.12,77.0,12.75
345,Mbaïki,100,CF,1599619654,97,3.87,17.99,68.29,1.59
346,Sakaiminato,75,JP,1599619655,51,35.55,133.23,86.0,13.87
347,Katsuura,0,JP,1599619656,69,35.13,140.3,91.99,5.99
348,Collie,91,AU,1599619408,48,-33.37,116.15,66.99,7.49
349,Ibrā’,0,OM,1599619658,53,22.69,58.53,82.78,2.37
350,Nanortalik,100,GL,1599619660,92,60.14,-45.24,46.33,11.12
351,Robertsport,88,LR,1599619661,85,6.75,-11.37,76.01,4.72
352,Kalmunai,100,LK,1599619662,73,7.42,81.82,82.31,10.45
353,Evensk,100,RU,1599619663,65,61.95,159.23,50.13,21.79
354,Berkåk,77,NO,1599619665,88,62.83,10.01,51.01,9.1
355,Bom Jesus,0,BR,1599619667,50,-9.07,-44.36,74.59,5.32
356,Areia Branca,82,BR,1599619669,69,-4.96,-37.14,75.33,16.26
357,Gallup,90,US,1599619496,81,35.53,-108.74,48.2,6.93
358,Kikerino,90,RU,1599619672,87,59.47,29.63,53.6,4.45
359,Souillac,75,MU,1599619674,94,-20.52,57.52,69.8,19.46
360,Feijó,100,BR,1599619676,62,-8.16,-70.35,77.31,2.01
361,Erzin,0,TR,1599619678,75,36.96,36.2,80.01,1.59
362,Kemptville,99,CA,1599619498,99,45.02,-75.64,55.0,1.01
363,Kieta,22,PG,1599619681,75,-6.22,155.63,82.81,2.57
364,Ol'ga,1,RU,1599619576,60,43.74,135.29,74.17,12.39
365,North Bend,90,US,1599619685,22,43.41,-124.22,82.0,13.87
366,Departamento de Maldonado,100,UY,1599619687,76,-34.67,-54.92,55.4,11.41
367,Mamontovo,6,RU,1599619689,79,52.71,81.62,49.05,8.55
368,Gogrial,14,SS,1599619690,97,8.53,28.1,70.86,2.73
369,Realeza,100,BR,1599619692,83,-25.77,-53.53,66.76,2.98
370,Winnipeg,20,CA,1599619436,49,49.88,-97.15,46.4,2.24
371,San Quintín,18,MX,1599619695,81,30.48,-115.95,72.48,6.29
372,Viedma,100,AR,1599619697,75,-40.81,-63.0,57.0,3.0
373,Bhādāsar,0,IN,1599619699,35,28.28,74.32,92.16,8.28
374,Gigmoto,100,PH,1599619700,72,13.78,124.39,85.77,6.87
375,Superior,1,US,1599619702,87,46.72,-92.1,48.0,4.97
